"","lon","lat","svog_amount","svog_grantee","address_full","Address","City","State","Zip","Account Venue"
"26",-151.5444409,59.6456104,169859,"Homer Theatre LLC ","106 W Pioneer, Homer, AK, 99603","106 W Pioneer","Homer","AK","99603","Motion picture theater operator"
"27",-134.405841,58.29986,31385.7,"Gold Town Theater ","171 Shattuck Way suite 109, Juneau, AK, 99801","171 Shattuck Way suite 109","Juneau","AK","99801","Motion picture theater operator"
"28",-134.4066402,58.3007605,1215001,"Gross-Alaska, Inc. ","222 FRONT STREET SUITE 600, JUNEAU, AK, 99801","222 FRONT STREET SUITE 600","JUNEAU","AK","99801","Motion picture theater operator"
"29",-152.3936869,57.7938142,97307,"Kodiak Baranof Productions, Inc. ","722 Mill Bay Road Gerald C. Wilson Auditorium, Kodiak, AK, 99615","722 Mill Bay Road Gerald C. Wilson Auditorium","Kodiak","AK","99615","Live performing arts organization operator"
"30",-152.4033616,57.7876621,12794.16,"Kodiak Historical Society ","101 E Marine Way, Kodiak, AK, 99615","101 E Marine Way","Kodiak","AK","99615","Museum Operator"
"31",-152.4066664,57.789164,167181.77,"ORPHEUM THEATRE ","102 CENTER AVE, KODIAK, AK, 99615","102 CENTER AVE","KODIAK","AK","99615","Motion picture theater operator"
"32",-135.3220319,57.0517215,682632.35,"Alaska Arts Southeast, Inc. ","110 College Drive Suite 111, Sitka, AK, 99835","110 College Drive Suite 111","Sitka","AK","99835","Live performing arts organization operator"
"33",-135.2690266,59.5494402,162536.05,"Gold Rush Productions, Inc. ","PO Box 215, Skagway, AK, 99840","PO Box 215","Skagway","AK","99840","Theatrical producer"
"34",-151.1556911,60.4944881,315684.85,"360 Entertainment, LLC ","PO Box 3610 35493 KB Dr, Soldotna, AK, 99669","PO Box 3610 35493 KB Dr","Soldotna","AK","99669","Motion picture theater operator"
"35",-150.1125037,62.322487,28800.91,"Denali Arts Council ","22249 S D Street, Talkeetna, AK, 99676","22249 S D Street","Talkeetna","AK","99676","Live venue operator or promoter"
"36",-149.456451,61.5836197,186650,"Valley Performing Arts ","251 West Swanson Avenue, Wasilla, AK, 99654","251 West Swanson Avenue","Wasilla","AK","99654","Live venue operator or promoter"
"37",-86.8341331,33.2165036,42527.5,"enJOY entertainment, LLC ","142 Park Place Cir, Alabaster, AL, 35007","142 Park Place Cir","Alabaster","AL","35007","Live venue operator or promoter"
"38",-85.8217648,33.6978284,182386.56,"City of Anniston - Anniston Museums and Gardens ","4309 McClellan Blvd, Anniston, AL, 36206","4309 McClellan Blvd","Anniston","AL","36206","Museum Operator"
"39",-86.9716104,34.7942284,326121.5,"Cinemagic Theatre LLC ","1702 S Jefferson Street, Athens, AL, 35611","1702 S Jefferson Street","Athens","AL","35611","Motion picture theater operator"
"40",-87.4962574,31.0069689,630221.14,"Events at OWA LLC ","100 Brookwood Road, Atmore, AL, 36502","100 Brookwood Road","Atmore","AL","36502","Live venue operator or promoter"
"41",-85.4970114,32.5749934,26405,"FAGEL ONEAL EL ","1655 S. COLLEGE STREET D, AUBURN, AL, 36832","1655 S. COLLEGE STREET D","AUBURN","AL","36832","Live venue operator or promoter"
"42",-85.4827726,32.6067888,1969328.75,"Fourth Quarter, Inc. ","136 W Magnolia Ave, Auburn, AL, 36830","136 W Magnolia Ave","Auburn","AL","36830","Live venue operator or promoter"
"43",-85.4849784,32.5885412,904139.59,"Jay and Susie Gogue Performing Art Center at Auburn University ","910 South College Street, Auburn, AL, 36849","910 South College Street","Auburn","AL","36849","Live venue operator or promoter"
"44",-85.4837613,32.5877519,89326.35,"Jule Collins Smith Museum of Fine Art at Auburn University ","901 South College, Auburn, AL, 36849","901 South College","Auburn","AL","36849","Museum Operator"
"45",-86.8388572,33.4999435,33440.76,"Arlington Historic House ","331 Cotton Avenue SW, Birmingham, AL, 35203","331 Cotton Avenue SW","Birmingham","AL","35203","Museum Operator"
"46",-86.7741967,33.5245287,683056.9,"Avondale Brewing Company, LLC ","201 41st Street South, Birmingham, al, 35222","201 41st Street South","Birmingham","al","35222","Live venue operator or promoter"
"47",-86.6140965,33.533425,1889573.75,"Barber Vintage Motorsports Museum ","6030 Barber Motorsports Parkway, Birmingham, AL, 35094","6030 Barber Motorsports Parkway","Birmingham","AL","35094","Museum Operator"
"48",-86.8,33.52,284349.02,"Birmingham Children's Theatre ","PO Box 1362, Birmingham, AL, 35201","PO Box 1362","Birmingham","AL","35201","Live performing arts organization operator"
"49",-86.8148556,33.5158726,215338.24,"Birmingham Civil Rights Institute ","520 16th St North, Birmingham, AL, 35203","520 16th St North","Birmingham","AL","35203","Museum Operator"
"50",-86.7980215,33.4995813,17646.02,"Birmingham Festival Theatre ","P.O. Box 55321, Birmingham, AL, 35205","P.O. Box 55321","Birmingham","AL","35205","Theatrical producer"
"51",-86.8091257,33.5151169,1142822.9,"Birmingham Landmarks, Inc. ","1817 3rd Avenue North, Birmingham, AL, 35203","1817 3rd Avenue North","Birmingham","AL","35203","Live performing arts organization operator"
"52",-86.7787117,33.4870029,2290087.29,"Birmingham Zoo, Inc. ","2630 Cahaba Road, Birmingham, AL, 35223","2630 Cahaba Road","Birmingham","AL","35223","Museum Operator"
"53",-86.7571883,33.4934596,337229.01,"Code-R Productions ","118 Overbrook Road, Birmingham, AL, 35213","118 Overbrook Road","Birmingham","AL","35213","Live venue operator or promoter"
"54",-86.8005199,33.5130508,78035.08,"Definitive Productions LLC ","2201 1st Avenue North, Birmingham, AL, 35203","2201 1st Avenue North","Birmingham","AL","35203","Talent representative"
"55",-86.6465259,33.3937188,267680.7,"Empowerment Incorporated ","118 Huntingdon Place, Birmingham, al, 35242","118 Huntingdon Place","Birmingham","al","35242","Live venue operator or promoter"
"56",-86.76898,33.4289546,68201.04,"Fiesta 2003 ","3424 Water Oak Drive, Birmingham, AL, 35243","3424 Water Oak Drive","Birmingham","AL","35243","Live performing arts organization operator"
"57",-86.7979189,33.508899,1675104.9,"Iron City Live, Inc. ","513 22nd Street South, Birmingham, AL, 35233","513 22nd Street South","Birmingham","AL","35233","Live venue operator or promoter"
"58",-86.756065,33.5030675,947987.95,"JROK, Inc. ","4 Dexter Avenue, Birmingham, AL, 35213","4 Dexter Avenue","Birmingham","AL","35213","Live venue operator or promoter"
"59",-86.8082701,33.5149464,1358938.05,"McWane Science Center ","200 19th Street, North, Birmingham, AL, 35203","200 19th Street, North","Birmingham","AL","35203","Museum Operator"
"60",-86.787123,33.5033513,271925.14,"Metropolitan Arts Center ","1116 South 26th Street, Birmingham, AL, 35205","1116 South 26th Street","Birmingham","AL","35205","Live venue operator or promoter"
"61",-86.7905075,33.5054317,227541.98,"Mr Nick INC ","2514 10th Avenue South, Birmingham, AL, 35205","2514 10th Avenue South","Birmingham","AL","35205","Live venue operator or promoter"
"62",-86.8080869,33.4881076,133192.22,"Reaction Presents LLC ","1729 Cullum Street South Apt E, Birmingham, AL, 35205","1729 Cullum Street South Apt E","Birmingham","AL","35205","Live venue operator or promoter"
"63",-86.8072562,33.5079775,643502.75,"Red Mountain Theatre Company Inc. ","1600 3rd Ave South, Birmingham, AL, 35233","1600 3rd Ave South","Birmingham","AL","35233","Theatrical producer"
"64",-86.7746483,33.5243,597625.99,"Saturn Music LLC ","200 41st St. S., Birmingham, AL, 35222","200 41st St. S.","Birmingham","AL","35222","Live venue operator or promoter"
"65",-86.807979,33.514158,297146.65,"Sidewalk Film Center and Cinema ","1821 2nd Ave. N., Birmingham, AL, 35203","1821 2nd Ave. N.","Birmingham","AL","35203","Motion picture theater operator"
"66",-86.7937062,33.5172088,272700.6,"State of Alabama Ballet, Inc ","2726 1st Ave South, Birmingham, AL, 35233","2726 1st Ave South","Birmingham","AL","35233","Live performing arts organization operator"
"67",-86.8176016,33.5474135,5400,"Studio 2500 Incorporated ","2500 26th Avenue North, Birmingham, AL, 35234","2500 26th Avenue North","Birmingham","AL","35234","Live performing arts organization operator"
"68",-86.7615938,33.5067998,59221.51,"Terrific New Theatre ","PO Box 130368, Birmingham, AL, 35213","PO Box 130368","Birmingham","AL","35213","Live performing arts organization operator"
"69",-86.7996714,33.3764956,1567490.55,"The Comedy Club, Inc ","1818 DATA DRIVE, BIRMINGHAM, AL, 35244","1818 DATA DRIVE","BIRMINGHAM","AL","35244","Live venue operator or promoter"
"70",-86.8078397,33.4971186,789391.8,"University of Alabama at Birmingham ","1200 10th Ave South, Birmingham, AL, 35205","1200 10th Ave South","Birmingham","AL","35205","Live venue operator or promoter"
"71",-86.7974738,33.5096117,219872.15,"Williams Brothers Music Hall, LLC ","500 23rd street south, birmingham, AL, 35233","500 23rd street south","birmingham","AL","35233","Live venue operator or promoter"
"72",-86.1571324,34.1965087,166000,"Boaz9cinema LLC ","215 south mcclesky street, Boaz, AL, 35957","215 south mcclesky street","Boaz","AL","35957","Motion picture theater operator"
"73",-88.0960484,30.2568125,19994.4,"David Clark ","523 Buchanan Dr, Dauphin Island, AL, 36528","523 Buchanan Dr","Dauphin Island","AL","36528","Talent representative"
"74",-86.9846012,34.6045856,125814.86,"Princess Theatre Center for the Performing Arts ","112 2nd AVE NE, Decatur, AL, 35601","112 2nd AVE NE","Decatur","AL","35601","Live performing arts organization operator"
"75",-86.971001,34.6034586,40000,"Pyramid Gang Entertainment ","1219 Moulton ST SE, Decatur, AL, 35601","1219 Moulton ST SE","Decatur","AL","35601","Talent representative"
"76",-85.3971036,31.2540263,14213.7,"Space night club of dothan ","4129 ross clark circle, dothan, AL, 36303","4129 ross clark circle","dothan","AL","36303","Live venue operator or promoter"
"77",-85.8578536,31.2895673,1752555.88,"Clark Theatres, Inc. ","100 New Centre Drive, Enterprise, AL, 36330","100 New Centre Drive","Enterprise","AL","36330","Motion picture theater operator"
"78",-85.8539717,31.3148502,120261.35,"Southern Broadway Theater Company, LLC ","104 North Main Street, Enterprise, AL, 36330","104 North Main Street","Enterprise","AL","36330","Theatrical producer"
"79",-87.675256,34.80125,138516.98,"Community Theatre Inc ","123 N Seminary Street, Florence, AL, 35630","123 N Seminary Street","Florence","AL","35630","Live venue operator or promoter"
"80",-87.6782037,34.8030825,66195.9,"Shoals Symphony Orchestra ","409 N. Court St. Suite 100, Florence, AL, 35630","409 N. Court St. Suite 100","Florence","AL","35630","Live performing arts organization operator"
"81",-85.6976602,34.4680942,280571.4,"Fort Payne Cinemas, LLC ","2715 Gault Ave. North, Fort Payne, AL, 35967","2715 Gault Ave. North","Fort Payne","AL","35967","Motion picture theater operator"
"82",-87.689526,30.2480503,251442.55,"HO-MF LLC ","101 E BEACH BLVD, GULF SHORES, AL, 36542","101 E BEACH BLVD","GULF SHORES","AL","36542","Live venue operator or promoter"
"83",-86.396817,34.289431,121718.72,"Ainsworth Shows, LLC ","7520 Browns Valley Road, Guntersville, AL, 35976","7520 Browns Valley Road","Guntersville","AL","35976","Live venue operator or promoter"
"84",-86.9969304,33.4566396,14098.95,"Gifted Hands Entertainment, LLC ","2069 Cherry Avenue Suite 200, Hueytown, AL, 35023","2069 Cherry Avenue Suite 200","Hueytown","AL","35023","Live venue operator or promoter"
"85",-86.6127832,34.7133936,160025.9,"Fantasy Playhouse Children's Theater ","3312 Long Avenue SW, Hunstville, AL, 35805","3312 Long Avenue SW","Hunstville","AL","35805","Live performing arts organization operator"
"86",-86.5848185,34.7283874,462252.36,"Alabama Constitution Village Huntsville Historical Depot d/b/a EarlyWo ","404 Madison St, Huntsville, AL, 35801","404 Madison St","Huntsville","AL","35801","Museum Operator"
"87",-86.5859783,34.7272709,996231.28,"Big Spring Entertainment, LLC ","305 Church Street, Suite 715, Huntsville, AL, 35801","305 Church Street, Suite 715","Huntsville","AL","35801","Talent representative"
"88",-86.5901382,34.7291509,1077682.95,"Broadway Theatre League of Huntsville Inc ","700 Monroe St Suite 410, Huntsville, AL, 35801","700 Monroe St Suite 410","Huntsville","AL","35801","Live performing arts organization operator"
"89",-86.5901382,34.7291509,5807003.69,"Huntsville, City of d/b/a Von Braun Civic Center ","700 Monroe Street, Huntsville, AL, 35801","700 Monroe Street","Huntsville","AL","35801","Live venue operator or promoter"
"90",-86.5933351,34.7188132,1002289.5,"Launch-Pad Comedy Theatre LLC ","2012 Memorial Pkwy SW, Huntsville, AL, 35801","2012 Memorial Pkwy SW","Huntsville","AL","35801","Live venue operator or promoter"
"91",-86.6096365,34.7036947,95383.66,"Merrimack Academy for the Performing Arts, Inc ","3320 Triana Boulevard SW, Huntsville, AL, 35805","3320 Triana Boulevard SW","Huntsville","AL","35805","Live performing arts organization operator"
"92",-86.6042891,34.7539625,10375.66,"Natural Models AL ","2529 Garden park drive nw, Huntsville, AL, 35810","2529 Garden park drive nw","Huntsville","AL","35810","Talent representative"
"93",-86.5910888,34.7074922,12487.5,"Shenanigans Comedy Theatre ","2650 Leeman Ferry Rd., Suite A, Huntsville, AL, 35801","2650 Leeman Ferry Rd., Suite A","Huntsville","AL","35801","Live venue operator or promoter"
"94",-86.5968028,34.7146827,82590.65,"Theatre Huntsville ","2211 Seminole Dr SW Studio 263/265, Huntsville, AL, 35805","2211 Seminole Dr SW Studio 263/265","Huntsville","AL","35805","Live performing arts organization operator"
"95",-86.5996398,34.723992,7101.9,"Valley Arts and Entertainment, INC. ","2201 Clinton Ave W, Suite F, Huntsville, AL, 35805","2201 Clinton Ave W, Suite F","Huntsville","AL","35805","Live performing arts organization operator"
"96",-86.6410735,33.4893524,311840.21,"Post Panda Promotions dab Big Friendly Entertainment ","2981 Grants Mill Road Suite 121, Leeds, AL, 35094","2981 Grants Mill Road Suite 121","Leeds","AL","35094","Talent representative"
"97",-86.7418731,34.7576653,1903576.05,"Rainbow Cinemas LLC ","2100 Hughes Rd, Madison, AL, 35758","2100 Hughes Rd","Madison","AL","35758","Motion picture theater operator"
"98",-88.0424775,30.6889908,983487,"City of Mobile ","P.O. Box 1827 205 Government Street, Mobile, AL, 36633","P.O. Box 1827 205 Government Street","Mobile","AL","36633","Live venue operator or promoter"
"99",-88.0433579,30.6916069,131873.19,"Crescent Theater ","208 Dauphin St., Mobile, AL, 36602","208 Dauphin St.","Mobile","AL","36602","Motion picture theater operator"
"100",-88.0434152,30.6911363,621609.69,"Dog Dreams, LLC ","219 Dauphin Street, Mobile, AL, 36602","219 Dauphin Street","Mobile","AL","36602","Live venue operator or promoter"
"101",-88.1427872,30.673728,379493.04,"Mobile Ballet, Inc. ","4351 Downtowner Loop North, Mobile, AL, 36609","4351 Downtowner Loop North","Mobile","AL","36609","Live performing arts organization operator"
"102",-88.2055612,30.658078,648573.2,"Nexus Cinema Dining, LLC ","7070 Bruns Dr, Mobile, AL, 36695","7070 Bruns Dr","Mobile","AL","36695","Motion picture theater operator"
"103",-88.1486379,30.7252892,92650.05,"PEEC OF MOBILE, INC ","1725 Northview Drive, Mobile, AL, 36618","1725 Northview Drive","Mobile","AL","36618","Live venue operator or promoter"
"104",-88.037837,30.6918608,317616.95,"Perdido Queen Cruises, LLC ","1 S WATER ST, MOBILE, AL, 36602","1 S WATER ST","MOBILE","AL","36602","Live venue operator or promoter"
"105",-88.042933,30.690999,110831.53,"Schwathews Mathwall LLP ","12 S Conception Street, MOBILE, AL, 36604","12 S Conception Street","MOBILE","AL","36604","Live venue operator or promoter"
"106",-88.106598,30.7053138,65163.15,"Selwonk Enterprises, Inc ","505 Bay Shore St., Mobile, AL, 36607","505 Bay Shore St.","Mobile","AL","36607","Live venue operator or promoter"
"107",-88.1669666,30.6907975,6075,"Susannah Murphy ","5413 Hilltop Dr S, Mobile, AL, 36608","5413 Hilltop Dr S","Mobile","AL","36608","Theatrical producer"
"108",-88.04,30.7,338648.05,"The Explore Center Inc. ","P.O. Box 1968, Mobile, AL, 36633","P.O. Box 1968","Mobile","AL","36633","Museum Operator"
"109",-88.0151733,30.6820436,2558608.2,"USS ALABAMA Battleship Commission d/b/a USS ALABAMA Battleship Memoria ","2703 Battleship Parkway, Mobile, AL, 36602","2703 Battleship Parkway","Mobile","AL","36602","Museum Operator"
"110",-86.212832,32.3499059,1180245.56,"Alabama Shakespeare Festival ","1 Festival Drive, Montgomery, AL, 36117","1 Festival Drive","Montgomery","AL","36117","Live performing arts organization operator"
"111",-86.2908845,32.3522228,87431.75,"Capri Community Film Society, Inc ","1045 E Fairview Ave, Montgomery, AL, 36106","1045 E Fairview Ave","Montgomery","AL","36106","Motion picture theater operator"
"112",-86.3079207,32.3791945,1199671.26,"City of Montgomery ","103 N Perry Street, Montgomery, AL, 36104","103 N Perry Street","Montgomery","AL","36104","Museum Operator"
"113",-86.2064835,32.3510221,90552.25,"Montgomery Museum of Fine Arts Association ","One Museum Drive, Montgomery, AL, 36117","One Museum Drive","Montgomery","AL","36117","Museum Operator"
"114",-86.3049085,32.3823773,247535.11,"The Landmarks Foundation of Montgomery Inc. ","301 Columbus St., Montgomery, AL, 36104","301 Columbus St.","Montgomery","AL","36104","Museum Operator"
"115",-87.5770636,33.2251414,431345,"Turnipblood Entertainment LLC ","1320 Lurleen B Wallace Blvd, Northport, AL, 35476","1320 Lurleen B Wallace Blvd","Northport","AL","35476","Talent representative"
"116",-87.5608674,33.2408145,40824.46,"Tuscaloosa Children's Theatre Inc ","3700 Northbrook Drive Unit , Northport, AL, 35473","3700 Northbrook Drive Unit ","Northport","AL","35473","Live performing arts organization operator"
"117",-86.411139,33.6714293,14088,"Mustang Museum of America ","49 Forman Farm Road, Odenville, AL, 35120","49 Forman Farm Road","Odenville","AL","35120","Museum Operator"
"118",-85.3312773,32.6149032,310318.2,"Hustle Squad Entertainment, LLC ","2320 Old Columbus RD, Opelika, AL, 36804","2320 Old Columbus RD","Opelika","AL","36804","Live venue operator or promoter"
"119",-85.3734059,32.6419239,87334.2,"The Arts Association of East Alabama, Inc. ","1103 Glenn Street, Opelika, AL, 36801","1103 Glenn Street","Opelika","AL","36801","Live performing arts organization operator"
"120",-85.3753626,32.6476565,35380,"The Sound Wall LLC ","605 Ave B, Opelika, AL, 36801","605 Ave B","Opelika","AL","36801","Live venue operator or promoter"
"121",-85.8346259,33.6079013,539420.52,"City of Oxford ","145 Hamrick Drive East, Oxford, AL, 36203","145 Hamrick Drive East","Oxford","AL","36203","Live venue operator or promoter"
"122",-85.64152,31.4582205,50332.95,"Harlow, Inc dba Live@Harlow's ","190 West Reynolds St PO BOX 2428, Ozark, AL, 36360","190 West Reynolds St PO BOX 2428","Ozark","AL","36360","Live venue operator or promoter"
"123",-85.0239347,32.5238691,392000.96,"Lucas Cinemas, LLC ","2204 St. Andrews Way, Phenix City, AL, 36867","2204 St. Andrews Way","Phenix City","AL","36867","Motion picture theater operator"
"124",-87.7823861,30.4834778,20871.9,"Blooms 4 You ","14171 Dragoon Ct, Summerdale, AL, 36580","14171 Dragoon Ct","Summerdale","AL","36580","Live venue operator or promoter"
"125",-85.9579958,31.7995254,254847.32,"Troy University ","600 University Avenue 247 Adams Administraion, Troy, AL, 36082","600 University Avenue 247 Adams Administraion","Troy","AL","36082","Museum Operator"
"126",-87.5682423,33.2083648,141608.15,"Arts and Humanities Council of Tuscaloosa County, Inc. ","600 Greensboro Ave., Tuscaloosa, AL, 35401","600 Greensboro Ave.","Tuscaloosa","AL","35401","Live performing arts organization operator"
"127",-87.5656168,33.2098931,2201064.75,"City of Tuscaloosa, Alabama ","2201 University Blvd, Tuscaloosa, AL, 35401","2201 University Blvd","Tuscaloosa","AL","35401","Live venue operator or promoter"
"128",-87.5619872,33.1210689,96363.22,"Theatre Tuscaloosa Inc ","9500 Old Greensboro Rd , Tuscaloosa, AL, 35405","9500 Old Greensboro Rd ","Tuscaloosa","AL","35405","Theatrical producer"
"129",-87.7052148,34.7376616,45965.82,"Tennessee Valley Art Association, Inc ","511 N Water Street, Tuscumbia, AL, 35674","511 N Water Street","Tuscumbia","AL","35674","Live performing arts organization operator"
"130",-86.1598155,32.5540927,1800,"Titanium Music Productions Group ","20 Sandy Springs Drive, Wetumpka, AL, 36092","20 Sandy Springs Drive","Wetumpka","AL","36092","Talent representative"
"131",-87.8173041,33.9291995,17482.16,"The Pastime Theatre ","1052 US HWY 43 PO Box 766, WINFIELD, AL, 35594","1052 US HWY 43 PO Box 766","WINFIELD","AL","35594","Live performing arts organization operator"
"132",-94.21956,35.4741282,66853.97,"Alma Education and Arts Foundation, Inc. ","P. O. Box 2359 103 E. Main Street, Alma, AR, 72921","P. O. Box 2359 103 E. Main Street","Alma","AR","72921","Live performing arts organization operator"
"133",-91.6544782,35.7700042,152253.35,"Melba Group, LLC ","115 West Main Street, Batesville, AR, 72501","115 West Main Street","Batesville","AR","72501","Motion picture theater operator"
"134",-91.6275828,35.7683577,278349,"Oaks Cinema 7 LLC ","2250 Harrison St, Batesville, AR, 72501","2250 Harrison St","Batesville","AR","72501","Motion picture theater operator"
"135",-92.5884262,34.5630009,77674.21,"Royal Players, Inc. ","111 S. Market Street P. O. Box 1743, Benton, AR, 72015","111 S. Market Street P. O. Box 1743","Benton","AR","72015","Live performing arts organization operator"
"136",-94.2128337,36.3840171,41215.25,"Civic Symphony of Benton County Guild ","PO Box 1723, Bentonville, AR, 72712","PO Box 1723","Bentonville","AR","72712","Live performing arts organization operator"
"137",-93.5662046,36.3632303,164945.25,"Clark Theatrical Productions DBA Main Theatre ","207-209 South Main St., Berryville, AR, 72616","207-209 South Main St.","Berryville","AR","72616","Motion picture theater operator"
"138",-92.023883,34.97749,1165492.2,"Silver Screen Cabot, LLC ","100 Cinema Blvd, Cabot, AR, 72023","100 Cinema Blvd","Cabot","AR","72023","Motion picture theater operator"
"139",-93.5160615,35.464214,113550,"At The Movie Show LLC ","2424 Clark Rd, Clarksville, AR, 72830","2424 Clark Rd","Clarksville","AR","72830","Motion picture theater operator"
"140",-92.4504869,35.5523128,54006.42,"Gateway Twin Cinema ","3008 Hwy 65 South, Clinton, AR, 72031","3008 Hwy 65 South","Clinton","AR","72031","Motion picture theater operator"
"141",-93.895317,35.8510657,9900.45,"Rock Pit Ranch ","6746 Hwy 16 E, Clinton, AR, 72031","6746 Hwy 16 E","Clinton","AR","72031","Live venue operator or promoter"
"142",-92.3916027,35.1323589,9738047,"Awakening Events Inc ","3790 Lazy Creek Trail, Conway, AR, 72032","3790 Lazy Creek Trail","Conway","AR","72032","Live venue operator or promoter"
"143",-92.4579421,35.0773132,220224.93,"Reynolds Performance Hall at University of Central Arkansas ","201 Donaghey Avenue, Conway, AR, 72035","201 Donaghey Avenue","Conway","AR","72035","Live performing arts organization operator"
"144",-92.6630634,33.2097911,340374.75,"El Dorado Festivals & Events, Inc. ","101 E. Locust, El Dorado, AR, 71730","101 E. Locust","El Dorado","AR","71730","Live venue operator or promoter"
"145",-92.7009498,33.2100307,717866.95,"Stars Motion Pictures Corp. ","PO Box 10010 2620 W Hillsboro St,, El Dorado, AR, 71730","PO Box 10010 2620 W Hillsboro St,","El Dorado","AR","71730","Motion picture theater operator"
